01	WCO Harmonized System	World Customs Organization Harmonized Commodity Coding & Description System
02	UNSPSC	UN Standard Product & Service Classification
03	HMC&E	UK Customs & Excise classifications, based on the Harmonized System
04	Warenverzeichnis für die Außenhandelsstatistik	German export trade classification, based on the Harmonised System
05	TARIC	EU TARIC codes, an extended version of the Harmonized System
06	Fondsgroep	Centraal Boekhuis free classification field for publishers
07	Sender's product category	A product category (not a subject classification) assigned by the sender
