00	Single-item retail product	
10	Multiple-item retail product	Multiple-item product retailed as a whole
11	Multiple-item collection, retailed as separate parts	Used when an ONIX record is required for a collection-as-a-whole, even though it is not currently retailed as such
20	Trade-only product	Product not for retail, and not carrying retail items, eg empty dumpbin, empty counterpack, promotional material
30	Multiple-item trade pack	Carrying multiple copies for retailing as separate items, eg shrink-wrapped trade pack, filled dumpbin, filled counterpack
