01	General/trade	For a non-specialist adult audience
02	Children/juvenile	For a juvenile audience, not specifically for any educational purpose
03	Young adult	For a teenage audience, not specifically for any educational purpose
04	Primary & secondary/elementary & high school	Kindergarten, pre-school, primary/elementary or secondary/high school education
05	College/higher education	For universities and colleges of further and higher education
06	Professional and scholarly	For an expert adult audience, including academic research
07	ELT/ESL	Intended for use in teaching English as a second language
08	Adult education	For centres providing academic, vocational or recreational courses for adults
