A101	CD standard audio format	CD 'red book' format
D304	Nintendo Gameboy	Use with Product Form code DE or DB as applicable
D305	Nintendo Gamecube	Use with Product Form code DE or DB as applicable
D306	Nintendo 64	Use with Product Form code DE or DB as applicable
D307	Sega Dreamcast	Use with Product Form code DE or DB as applicable
D308	Sega Genesis/Megadrive	Use with Product Form code DE or DB as applicable
D309	Sega Saturn	Use with Product Form code DE or DB as applicable
D310	Sony PlayStation 1	Use with Product Form code DE or DB as applicable
D311	Sony PlayStation 2	Use with Product Form code DE or DB as applicable
D312	Nintendo Dual Screen	
D313	Sony PlayStation 3	
D314	Xbox 360	
D315	Nintendo Wii	
D316	Sony PlayStation Portable (PSP)	
L101	Laminated	Whole product laminated (eg laminated map, fold-out chart, wallchart, etc): use B415 for book with laminated cover
P101	Desk calendar	Use with Product Form code PC
P102	Mini calendar	Use with Product Form code PC
P103	Engagement calendar	Use with Product Form code PC
P104	Day by day calendar	Use with Product Form code PC
P105	Poster calendar	Use with Product Form code PC
P106	Wall calendar	Use with Product Form code PC
P107	Perpetual calendar	Use with Product Form code PC
P108	Advent calendar	Use with Product Form code PC
P109	Bookmark calendar	Use with Product Form code PC
P110	Student calendar	Use with Product Form code PC
P111	Project calendar	Use with Product Form code PC
P112	Almanac calendar	Use with Product Form code PC
P113	Other calendar	A calendar that is not one of the types specified elsewhere: use with Product Form code PC
P114	Other calendar or organiser product	A product that is associated with or ancillary to a calendar or organiser, eg a deskstand for a calendar, or an insert for an organiser: use with Product Form code PC or PS
P201	Hardback (stationery)	Stationery item in hardback book format
P202	Paperback / softback (stationery)	Stationery item in paperback/softback book format
P203	Spiral bound (stationery)	Stationery item in spiral-bound book format
P204	Leather / fine binding (stationery)	Stationery item in leather-bound book format, or other fine binding
V201	PAL	TV standard for video or DVD
V202	NTSC	TV standard for video or DVD
V203	SECAM	TV standard for video or DVD
