00	Unknown / unspecified	Position unknown or unspecified
01	Cover 4	The back cover of a book
02	Cover 3	The inside back cover of a book
03	Cover 2	The inside front cover of a book
04	Cover 1	The front cover of a book
05	On spine	The spine of a book
06	On box	Used only for boxed products
07	On tag	Used only for products fitted with hanging tags
08	On bottom	Not be used for books unless they are contained within outer packaging
09	On back	Not be used for books unless they are contained within outer packaging
10	On outer sleeve / back	Used only for products packaged in outer sleeves
11	On removable wrapping	Used only for products packaged in shrink-wrap or other removable wrapping
