27	UPC12+5 (price-point) on cover 2	AKA price/item; 'cover 2' is defined as the inside front cover of a book
28	EAN13 on box	To be used only on boxed products
29	EAN13+5 on box (US dollar price encoded)	To be used only on boxed products
30	UPC12 (item-specific) on box	AKA item/price; to be used only on boxed products
31	UPC12+5 (item-specific) on box	AKA item/price; to be used only on boxed products
32	UPC12 (price-point) on box	AKA price/item; to be used only on boxed products
33	UPC12+5 (price-point) on box	AKA price/item; to be used only on boxed products
34	EAN13 on tag	To be used only on products fitted with hanging tags
35	EAN13+5 on tag (US dollar price encoded)	To be used only on products fitted with hanging tags
36	UPC12 (item-specific) on tag	AKA item/price; to be used only on products fitted with hanging tags
37	UPC12+5 (item-specific) on tag	AKA item/price; to be used only on products fitted with hanging tags
38	UPC12 (price-point) on tag	AKA price/item; to be used only on products fitted with hanging tags
39	UPC12+5 (price-point) on tag	AKA price/item; to be used only on products fitted with hanging tags
40	EAN13 on bottom	Not be used on books unless they are contained within outer packaging
41	EAN13+5 on bottom (US dollar price encoded)	Not be used on books unless they are contained within outer packaging
42	UPC12 (item-specific) on bottom	AKA item/price; not be used on books unless they are contained within outer packaging
43	UPC12+5 (item-specific) on bottom	AKA item/price; not be used on books unless they are contained within outer packaging
44	UPC12 (price-point) on bottom	AKA price/item; not be used on books unless they are contained within outer packaging
45	UPC12+5 (price-point) on bottom	AKA price/item; not be used on books unless they are contained within outer packaging
46	EAN13 on back	Not be used on books unless they are contained within outer packaging
47	EAN13+5 on back (US dollar price encoded)	Not be used on books unless they are contained within outer packaging
48	UPC12 (item-specific) on back	AKA item/price; not be used on books unless they are contained within outer packaging
49	UPC12+5 (item-specific) on back	AKA item/price; not be used on books unless they are contained within outer packaging
50	UPC12 (price-point) on back	AKA price/item; not be used on books unless they are contained within outer packaging
51	UPC12+5 (price-point) on back	AKA price/item; not be used on books unless they are contained within outer packaging
52	EAN13+5 on outer sleeve/back (US dollar price encoded)	To be used only on products packaged in outer sleeves
53	EAN13+5 on outer sleeve/back	To be used only on products packaged in outer sleeves
54	UPC12 (item-specific) on outer sleeve/back	AKA item/price; to be used only on products packaged in outer sleeves
55	UPC12+5 (item-specific) on outer sleeve/back	AKA item/price; to be used only on products packaged in outer sleeves
56	UPC12 (price-point) on outer sleeve/back	AKA price/item; to be used only on products packaged in outer sleeves
57	UPC12+5 (price-point) on outer sleeve/back	AKA price/item; to be used only on products packaged in outer sleeves
58	EAN13+5 (no price encoded)	Position unspecified
59	EAN13+5 on cover 4 (no price encoded)	‘Cover 4’ is defined as the back cover of a book
60	EAN13+5 on cover 3 (no price encoded)	‘Cover 3’ is defined as the inside back cover of a book
61	EAN13+5 on cover 2 (no price encoded)	‘Cover 2’ is defined as the inside front cover of a book
62	EAN13+5 on box (no price encoded)	To be used only on boxed products
63	EAN13+5 on tag (no price encoded)	To be used only on products fitted with hanging tags
64	EAN13+5 on bottom (no price encoded)	Not be used on books unless they are contained within outer packaging
65	EAN13+5 on back (no price encoded)	Not be used on books unless they are contained within outer packaging
66	EAN13+5 on outer sleeve/back (no price encoded)	To be used only on products packaged in outer sleeves
67	EAN13+5 (CAN dollar price encoded)	Position unspecified
68	EAN13+5 on cover 4 (CAN dollar price encoded)	‘Cover 4’ is defined as the back cover of a book
69	EAN13+5 on cover 3 (CAN dollar price encoded)	‘Cover 3’ is defined as the inside back cover of a book
70	EAN13+5 on cover 2 (CAN dollar price encoded)	‘Cover 2’ is defined as the inside front cover of a book
71	EAN13+5 on box (CAN dollar price encoded)	To be used only on boxed products
72	EAN13+5 on tag (CAN dollar price encoded)	To be used only on products fitted with hanging tags
73	EAN13+5 on bottom (CAN dollar price encoded)	Not be used on books unless they are contained within outer packaging
74	EAN13+5 on back (CAN dollar price encoded)	Not be used on books unless they are contained within outer packaging
75	EAN13 on outer sleeve/back (CAN dollar price encoded)	To be used only on products packaged in outer sleeves
