00	Not barcoded	
01	Barcoded, scheme unspecified	
02	EAN13	Position unspecified
03	EAN13+5 (US dollar price encoded)	Position unspecified
04	UPC12	Type and position unspecified. DEPRECATED: if possible, use more specific values below.
05	UPC12+5	Type and position unspecified. DEPRECATED: if possible, use more specific values below.
06	UPC12 (item-specific)	AKA item/price: position unspecified
07	UPC12+5 (item-specific)	AKA item/price: position unspecified
08	UPC12 (price-point)	AKA price/item: position unspecified
09	UPC12+5 (price-point)	AKA price/item: position unspecified
10	EAN13 on cover 4	‘Cover 4’ is defined as the back cover of a book
11	EAN13+5 on cover 4 (US dollar price encoded)	‘Cover 4’ is defined as the back cover of a book
12	UPC12 (item-specific) on cover 4	AKA item/price; 'cover 4' is defined as the back cover of a book
13	UPC12+5 (item-specific) on cover 4	AKA item/price; 'cover 4' is defined as the back cover of a book
14	UPC12 (price-point) on cover 4	AKA price/item; 'cover 4' is defined as the back cover of a book
15	UPC12+5 (price-point) on cover 4	AKA price/item; 'cover 4' is defined as the back cover of a book
16	EAN13 on cover 3	‘Cover 3’ is defined as the inside back cover of a book
17	EAN13+5 on cover 3 (US dollar price encoded)	‘Cover 3’ is defined as the inside back cover of a book
18	UPC12 (item-specific) on cover 3	AKA item/price; 'cover 3' is defined as the inside back cover of a book
19	UPC12+5 (item-specific) on cover 3	AKA item/price; 'cover 3' is defined as the inside back cover of a book
20	UPC12 (price-point) on cover 3	AKA price/item; 'cover 3' is defined as the inside back cover of a book
21	UPC12+5 (price-point) on cover 3	AKA price/item; 'cover 3' is defined as the inside back cover of a book
22	EAN13 on cover 2	‘Cover 2’ is defined as the inside front cover of a book
23	EAN13+5 on cover 2 (US dollar price encoded)	‘Cover 2’ is defined as the inside front cover of a book
24	UPC12 (item-specific) on cover 2	AKA item/price; 'cover 2' is defined as the inside front cover of a book
25	UPC12+5 (item-specific) on cover 2	AKA item/price; 'cover 2' is defined as the inside front cover of a book
26	UPC12 (price-point) on cover 2	AKA price/item; 'cover 2' is defined as the inside front cover of a book
