01	Slip-sleeve	
02	Clamshell	
03	Keep case	
05	Jewel case	
09	In box	Individual item or set in box with lid: not to be confused with the commonly-used 'boxed set' - see below
10	Slip-cased	Slip-case for single item only: German 'Schuber'
11	Slip-cased set	Slip-case for multi-volume set: German 'Kassette'; also commonly referred to as 'boxed set'
12	Tube	Rolled in tube or cylinder: eg sheet map or poster
13	Binder	Use for miscellaneous items such as slides, microfiche, when presented in a binder
14	In wallet or folder	Use for miscellaneous items such as slides, microfiche, when presented in a wallet or folder
15	Long triangular package	Long package with triangular cross-section used for rolled sheet maps, posters etc
16	Long square package	Long package with square cross-section used for rolled sheet maps, posters, etc
17	Softbox (for DVD)	
18	Pouch	In pouch, eg teaching materials in a plastic bag or pouch
19	Rigid plastic case	In duroplastic or other rigid plastic case, eg for a class set.
20	Cardboard case	In cardboard case, eg for a class set.
21	Shrink-wrapped	Use for products or product bundles supplied for retail sale in shrink-wrapped packaging. For shrink-wrapped packs of multiple products for trade supply only, see code XL in List 7.
22	Blister pack	A pack comprising a pre-formed plastic blister and a printed card with a heat-seal coating
23	Carry case	A case with carrying handle, typically for a set of educational books and/or learning materials
